id,city,country,population
1,Tokyo,Japan,39105000
2,Jakarta,Indonesia,35362000
3,Delhi,India,31870000
4,Manila,Philippines,23971000
5,Sao Paulo,Brazil,22495000
6,Seoul,South Korea,22394000
7,Mumbai,India,22186000
8,Shanghai,China,22118000
9,Mexico City,Mexico,21505000
10,Guangzhou,China,21489000
11,Cairo,Egypt,19787000
12,Beijing,China,19437000
13,New York,United States,18713220
14,Kolkata,India,18698000
15,Moscow,Russia,17693000
16,Bangkok,Thailand,17573000
17,Dhaka,Bangladesh,16839000
18,Buenos Aires,Argentina,16216000
19,Osaka,Japan,15490000
20,Lagos,Nigeria,15487000
21,Istanbul,Turkey,15311000
22,Karachi,Pakistan,15292000
23,Kinshasa,Congo (Kinshasa),15056000
24,Shenzhen,China,14678000
25,Bangalore,India,13999000
26,Ho Chi Minh City,Vietnam,13954000
27,Tehran,Iran,13819000
28,Los Angeles,United States,12750807
29,Rio de Janeiro,Brazil,12486000
30,Chengdu,China,11920000
31,Baoding,China,11860000
32,Chennai,India,11564000
33,Lahore,Pakistan,11148000
34,London,United Kingdom,11120000
35,Paris,France,11027000
36,Tianjin,China,10932000
37,Linyi,China,10820000
38,Shijiazhuang,China,10784600
39,Zhengzhou,China,10136000
40,Nanyang,China,10013600
41,Hyderabad,India,9840000
42,Wuhan,China,9729000
43,Handan,China,9549700
44,Nagoya,Japan,9522000
45,Weifang,China,9373000
46,Lima,Peru,8992000
47,Zhoukou,China,8953172
48,Luanda,Angola,8883000
49,Ganzhou,China,8677600
50,Tongshan,China,8669000
51,Kuala Lumpur,Malaysia,8639000
52,Chicago,United States,8604203
53,Heze,China,8287693
54,Chongqing,China,8261000
55,Hanoi,Vietnam,8246600
56,Fuyang,China,8200264
57,Changsha,China,8154700
58,Dongguan,China,8142000
59,Jining,China,8081905
60,Jinan,China,7967400
61,Pune,India,7948000
62,Foshan,China,7905700
63,Bogota,Colombia,7743955
64,Ahmedabad,India,7717000
65,Nanjing,China,7729000
66,Changchun,China,7674439
67,Tangshan,China,7577289
68,Cangzhou,China,7544300
69,Dar es Salaam,Tanzania,7461000
70,Hefei,China,7457027
71,Hong Kong,Hong Kong,7398000
72,Shaoyang,China,7370500
73,Zhanjiang,China,7332000
74,Shangqiu,China,7325300
75,Nantong,China,7283622
76,Yancheng,China,7260240
77,Nanning,China,7254100
78,Hengyang,China,7243400
79,Zhumadian,China,7231234
80,Shenyang,China,7208000
81,Xingtai,China,7104103
82,Xi'an,China,7090000
83,Santiago,Chile,7026000
84,Yantai,China,6968202
85,Riyadh,Saudi Arabia,6889000
86,Luoyang,China,6888500
87,Kunming,China,6850000
88,Shangrao,China,6810700
89,Hangzhou,China,6713000
90,Bijie,China,6686100
91,Quanzhou,China,6480000
92,Miami,United States,6445545
93,Wuxi,China,6372624
94,Huanggang,China,6333000
95,Maoming,China,6313200
96,Nanchong,China,6278614
97,Zunyi,China,6270700
98,Qujing,China,6155400
99,Baghdad,Iraq,6107000
100,Xinyang,China,6109106
101,Jieyang,China,6089400
102,Khartoum,Sudan,6017000
103,Madrid,Spain,6006000
104,Allahabad,India,5954391
105,Yulin,China,5849700
106,Changde,China,5827200
107,Liaocheng,China,5789863
108,Qingdao,China,5775000
109,Dallas,United States,5743938
110,Nangandao,China,5708191
111,Xiangyang,China,5680000
112,Philadelphia,United States,5649300
113,Giza,Egypt,5598402
114,Lu'an,China,5611701
115,Zhaotong,China,5591000
116,Yichun,China,5573200
117,Dezhou,China,5568235
118,Nairobi,Kenya,5545000
119,Nanchang,China,5545500
120,Tai'an,China,5494207
121,Dazhou,China,5468097
122,Houston,United States,5464251
123,Guadalajara,Mexico,5437000
124,Yongzhou,China,5452100
125,Atlanta,United States,5449398
126,Rangoon,Myanmar,5430000
127,Toronto,Canada,5429524
128,Suihua,China,5418153
129,Saint Petersburg,Russia,5384342
130,Washington,United States,5379184
131,Qiqihar,China,5367003
132,Suzhou,China,5352924
133,Shantou,China,5319028
134,Weinan,China,5286077
135,Changzhou,China,5278121
136,Singapore,Singapore,5271000
137,Fuzhou,China,5245000
138,Pudong,China,5187200
139,Belo Horizonte,Brazil,5159000
140,Zhangzhou,China,5140000
141,Yuncheng,China,5134779
142,Suzhou,China,5103000
143,Xianyang,China,5096001
144,Guilin,China,5085500
145,Taizhou,China,5031000
146,Abidjan,Côte d'Ivoire,4980000
147,Huaihua,China,4979600
148,Ji'an,China,4956600
149,Xiaoganzhan,China,4921000
150,Pingdingshan,China,4904701
151,Jiujiang,China,4896800
152,Surat,India,4875000
153,Guiyang,China,4881900
154,Alexandria,Egypt,4870000
155,Bozhou,China,4850657
156,Sydney,Australia,4840600
157,Huizhou,China,4830000
158,Huai'an,China,4799889
159,Chenzhou,China,4744500
160,Barcelona,Spain,4735000
161,Anqing,China,4723000
162,Suqian,China,4719178
163,Boston,United States,4688346
164,Jiangmen,China,4630300
165,Mianyang,China,4613862
166,Harbin,China,4583000
167,Huanglongsi,China,4564900
168,Melbourne,Australia,4529500
169,Zibo,China,4530597
170,Dalian,China,4480000
171,Hengshui,China,4472000
172,Yibin,China,4471896
173,Yangzhou,China,4459760
174,Timbio,Colombia,4444444
175,Johannesburg,South Africa,4434827
176,Yiyang,China,4413800
177,Guigang,China,4409200
178,Xinpu,China,4393482
179,Meizhou,China,4378800
